,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude
528,555,23-691,2023-01-15 18:18:00+00:00,2023-01-16 17:07:25+00:00,NEW WESTMINSTER,BC,V3M 6G8,900 Block SALTER ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.1853079,-122.9442055
529,556,23-756,2023-01-13 20:37:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3L 5L6,400 Block GINGER DR,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2180608,-122.9055998
530,557,23-657,2023-01-14 17:03:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3M,500 Block ASH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2105889,-122.9219459
531,558,23-699,2023-01-13 13:12:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3M 1A2,FRONT ST & BEGBIE ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2019513,-122.9105963
532,560,23-652,2023-01-14 10:16:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3L,JAMIESON CRT,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.216039,-122.895786
533,561,23-690,2023-01-14 05:22:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3M,SOUTH DYKE RD,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.1811276,-122.9452362
534,562,23-681,2023-01-14 02:42:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3M,600 Block FRONT ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2008592,-122.9111421
535,563,23-675,2023-01-14 04:00:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2225852,-122.914627
536,564,23-701,2023-01-14 05:45:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3M 3X8,1000 Block QUEENS AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2026763,-122.9204665
537,565,23-684,2023-01-14 01:25:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405
538,566,23-672,2023-01-14 15:54:00+00:00,2023-01-15 17:40:07+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405
539,567,23-697,2023-01-13 01:08:00+00:00,2023-01-14 17:29:08+00:00,NEW WESTMINSTER,BC,V3L 5J5,400 Block GLENBROOK DR,THEFT FROM MV OVER $5000,Theft from Vehicle,THEFT FROM MV OVER $5000,49.2204057,-122.8999472
